,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd
14790,CA02,140104249,SOB foundation,,2020,2960627915,11-04-2020,30-04-2020,20-04-2020,CA10,24676.169
14793,U001,200769623,WAL-MAR corporation,,2020,1930690057,24-03-2020,08-04-2020,24-03-2020,NAH4,471.56
14799,U001,200704858,WAKE systems,,2020,1930614512,06-03-2020,21-03-2020,06-03-2020,NAA8,51545.03
14804,U001,200759878,SA in,,2020,1930725882,03-04-2020,18-04-2020,03-04-2020,NAH4,15512.01
14809,U001,200769623,WAL-MAR associates,,2020,1930607067,07-03-2020,22-03-2020,07-03-2020,NAH4,63524.23
14817,U001,200769623,WAL-MAR in,,2020,1930624625,11-03-2020,26-03-2020,11-03-2020,NAH4,10782.24
14819,U001,200777735,NASH  foundation,,2020,1930781522,13-04-2020,28-04-2020,13-04-2020,NAA8,76614.24
14824,U001,200761734,H E BUT trust,,2020,1930646094,12-03-2020,27-03-2020,12-03-2020,NAA8,68264.72
14829,U001,200769623,WAL-MAR ,,2020,1930670916,20-03-2020,04-04-2020,20-03-2020,NAH4,35553.88
14839,U001,200418007,AM corporation,,2020,1930789411,22-04-2020,26-06-2020,22-04-2020,NAGD,4032
14842,U001,200526831,PERISH co,,2020,1930801378,19-04-2020,04-05-2020,19-04-2020,NAA8,70453.27
14845,U001,200561861,CO in,,2020,1930566868,27-02-2020,13-03-2020,27-02-2020,NAA8,1688.04
14853,U001,200769623,WAL-MAR foundation,,2020,1930739040,03-04-2020,18-04-2020,03-04-2020,NAH4,43532.97
14854,U001,200875006,KROGER llc,,2020,1930671702,19-03-2020,03-04-2020,19-03-2020,NAA8,101203.53
14858,U001,200772670,ASSOCIAT associates,,2020,1930659358,18-03-2020,02-04-2020,18-03-2020,NAU5,163389.93
14862,U001,200744019,TARG corporation,,2020,1930703609,26-03-2020,10-04-2020,26-03-2020,NAA8,7187.31
14870,U001,200777735,NASH  us,,2020,1930665530,18-03-2020,22-05-2020,18-03-2020,NAGD,29222.69
14876,U001,200148860,DOLLA associates,,2020,1930580533,28-02-2020,14-03-2020,28-02-2020,NAA8,11099.81
14881,U001,200704858,WAKE ,,2020,1930753806,07-04-2020,22-04-2020,07-04-2020,NAA8,93973.19
14882,U001,200769623,WAL-MAR systems,,2020,1930704102,25-03-2020,09-04-2020,25-03-2020,NAH4,18799.45
14887,U001,200769623,WAL-MAR corp,,2020,1930831546,30-04-2020,15-05-2020,30-04-2020,NAH4,12264.24
14889,U001,200881076,ALBERT co,,2020,1930637830,11-03-2020,26-03-2020,11-03-2020,NAA8,85108.71
14890,U001,200769623,WAL-MAR corp,,2020,1930599072,04-03-2020,19-03-2020,04-03-2020,NAH4,7990.39
14891,U001,200748108,KROGER trust,,2020,1930737390,02-04-2020,17-04-2020,02-04-2020,NAA8,88748.3
14895,U001,200705372,FR co,,2020,1930858223,06-05-2020,21-05-2020,06-05-2020,NAA8,14668.84
14897,U001,200782001,GORDO corporation,,2020,1930813326,23-04-2020,08-05-2020,23-04-2020,NAA8,28971.15
14910,CA02,140104429,COSTCO systems,,2020,2960629493,28-04-2020,10-05-2020,30-04-2020,CA10,52352.013
14916,U001,200769623,WAL-MAR ,,2020,1930661424,17-03-2020,01-04-2020,17-03-2020,NAH4,12042.02
14922,U001,200769623,WAL-MAR corporation,,2020,1930764241,11-04-2020,26-04-2020,11-04-2020,NAH4,31329.2
14924,U001,200714710,SYSCO  corp,,2020,1930580654,27-02-2020,13-03-2020,27-02-2020,NAA8,26938.55
14926,U001,200762301,C&S WH foundation,,2020,1930638213,12-03-2020,27-03-2020,12-03-2020,NAC6,14194.36
14938,U001,200769623,WAL-MAR us,,2020,1930665785,21-03-2020,05-04-2020,21-03-2020,NAH4,69308.97
14939,U001,200769623,WAL-MAR systems,,2020,1930686513,24-03-2020,08-04-2020,24-03-2020,NAH4,62151.56
14940,U001,200770567,LABAT in,,2020,1930782119,15-04-2020,30-04-2020,15-04-2020,NAA8,57087.76
14944,U001,200230690,DECA systems,,2020,1930599814,04-03-2020,24-03-2020,01-03-2020,NAM4,110.04
14945,U001,CCU013,KRAFT F co,,2020,1930635632,11-03-2020,11-03-2020,11-03-2020,NAX2,22007.4
14946,U001,CCU013,KRAFT F corp,,2020,1930684057,24-03-2020,24-03-2020,24-03-2020,NAX2,23580
14949,U001,200790107,ROU associates,,2020,1930817850,22-04-2020,07-05-2020,22-04-2020,NAC6,87827.11
14953,U001,200772670,ASSOCIAT systems,,2020,1930718072,29-03-2020,13-04-2020,29-03-2020,NAU5,18627.55
14956,U005,100025658,PEA co,,2020,1930795208,17-04-2020,17-05-2020,17-04-2020,NAD5,3901.32
14958,U001,200854853,MARTIN  corporation,,2020,1930664065,17-03-2020,01-04-2020,17-03-2020,NAA8,21464.82
14960,U001,200769623,WAL-MAR trust,,2020,1930717239,29-03-2020,13-04-2020,29-03-2020,NAH4,6625.3
14963,U001,200769623,WAL-MAR corporation,,2020,1930681779,22-03-2020,06-04-2020,22-03-2020,NAH4,31819.27
14966,U001,200762301,C&S WH trust,,2020,1930704992,27-03-2020,11-04-2020,27-03-2020,NAC6,13711.71
14970,U001,200769623,WAL-MAR foundation,,2020,1930587507,03-03-2020,18-03-2020,03-03-2020,NAH4,35489.29
14972,U001,200769623,WAL-MAR us,,2020,1930585520,02-03-2020,17-03-2020,02-03-2020,NAH4,65617.93
14974,U001,200806580,BE co,,2020,1930655120,16-03-2020,31-03-2020,16-03-2020,NAA8,5745.6
14975,U001,100031704,DELHAIZE ,,2020,1930839125,01-05-2020,16-05-2020,01-05-2020,NAA8,24129.22
14980,U002,200825136,COLOME corporation,,2020,1990571572,12-04-2020,12-05-2020,12-04-2020,NA38,82527.18
14987,U001,200936373,SUPE in,,2020,1930832388,30-04-2020,15-05-2020,30-04-2020,NAA8,33312.97
14993,U001,200794332,COST us,,2020,1930801014,22-04-2020,07-05-2020,22-04-2020,NAAX,43345.2
15006,U001,200416837,DEC in,,2020,1930803517,20-04-2020,26-03-2020,16-03-2020,NAM2,5673.7
15007,U001,200769623,WAL-MAR associates,,2020,1930809205,22-04-2020,07-05-2020,22-04-2020,NAH4,27069.48
15028,U001,200418007,AM corp,,2020,1930756805,10-04-2020,25-04-2020,10-04-2020,NAA8,21860.5
15031,U001,200769623,WAL-MAR corp,,2020,1930638648,12-03-2020,27-03-2020,12-03-2020,NAH4,24006.55
15039,U001,200792734,MDV/ llc,,2020,1930755489,06-04-2020,21-04-2020,06-04-2020,NAA8,4270.29
15049,U001,200769623,WAL-MAR systems,,2020,1930703511,27-03-2020,11-04-2020,27-03-2020,NAH4,32663.02
15050,U001,200762301,C&S WH systems,,2020,1930686919,23-03-2020,27-05-2020,23-03-2020,NAGD,50554.29
15060,U001,200769623,WAL-MAR associates,,2020,1930581384,29-02-2020,15-03-2020,29-02-2020,NAH4,56493.62
15063,U001,200769623,WAL-MAR systems,,2020,1930796372,17-04-2020,02-05-2020,17-04-2020,NAH4,887.17
15066,U001,200729828,KENNETH corporation,,2020,1930666834,18-03-2020,02-04-2020,18-03-2020,NAA8,49217.93
15072,U001,200726979,BJ'S  co,,2020,1930622267,09-03-2020,24-03-2020,09-03-2020,NAA8,464.94
15073,U001,200726979,BJ'S  llc,,2020,1930842711,30-04-2020,15-05-2020,30-04-2020,NAA8,380.77
15094,U001,200761734,H E BUT us,,2020,1930769620,09-04-2020,24-04-2020,09-04-2020,NAA8,22249.11
15100,U001,200762301,C&S WH llc,,2020,1930739525,04-04-2020,19-04-2020,04-04-2020,NAC6,4662.15
15101,U001,100059208,ARMADA W corp,,2020,1930730528,01-04-2020,21-04-2020,01-04-2020,NAD1,80839
15103,U001,200769623,WAL-MAR associates,,2020,1930581483,29-02-2020,15-03-2020,29-02-2020,NAH4,14894.96
15105,U001,200124052,VENT llc,,2020,1930660426,18-03-2020,27-04-2020,18-03-2020,NAD4,19840.95
15106,U001,200779719,FOOD 4 corp,,2020,1930693665,25-03-2020,09-04-2020,25-03-2020,NAA8,19436.32
15107,U001,200078595,NORTHERN corporation,,2020,1930783541,14-04-2020,29-04-2020,14-04-2020,NAA8,9615.89
15112,U001,200769623,WAL-MAR in,,2020,1930652249,15-03-2020,30-03-2020,15-03-2020,NAH4,36114.1
15125,U001,200799367,MCL llc,,2020,1930637451,16-03-2020,31-03-2020,16-03-2020,NAA8,28404.23
15128,U001,200704858,WAKE us,,2020,1930747084,04-04-2020,19-04-2020,04-04-2020,NAA8,9207.28
15129,U001,200779906,BOZZU co,,2020,1930639579,13-03-2020,28-03-2020,13-03-2020,NAA8,54122.58
15139,U001,200762301,C&S WH systems,,2020,1930756431,07-04-2020,11-06-2020,07-04-2020,NAGD,11515.84
15152,U001,200772670,ASSOCIAT llc,,2020,1930639689,11-03-2020,26-03-2020,11-03-2020,NAU5,373.43
15155,U001,200726979,BJ'S  us,,2020,1930724998,01-04-2020,16-04-2020,01-04-2020,NAA8,63.46
15158,U001,200769623,WAL-MAR in,,2020,1930711466,28-03-2020,12-04-2020,28-03-2020,NAH4,33635.14
15160,U001,200780383,MEIJ trust,,2020,1930705588,25-03-2020,09-04-2020,25-03-2020,NAA8,37253.21
15164,U001,200909198,TAP trust,,2020,1930818583,23-04-2020,25-05-2020,23-04-2020,NA32,2042.56
15169,U001,200759878,SA llc,,2020,1930729971,03-04-2020,18-04-2020,03-04-2020,NAH4,29677.79
15175,U001,200762301,C&S WH corp,,2020,1930618533,08-03-2020,23-03-2020,08-03-2020,NAC6,107163.63
15176,U001,200799367,MCL corp,,2020,1930672195,28-03-2020,12-04-2020,28-03-2020,NAA8,27740.21
15178,U001,200726979,BJ'S  us,,2020,1930774462,09-04-2020,24-04-2020,09-04-2020,NAA8,126.92
15183,U001,200769623,WAL-MAR us,,2020,1930781563,14-04-2020,29-04-2020,14-04-2020,NAH4,5453.66
15186,U001,200769623,WAL-MAR in,,2020,1930673870,21-03-2020,05-04-2020,21-03-2020,NAH4,19226.15
15193,U001,200769623,WAL-MAR corp,,2020,1930800361,18-04-2020,03-05-2020,18-04-2020,NAH4,22211.08
15196,U001,200718130,SYSCO F trust,,2020,1930598816,03-03-2020,18-03-2020,03-03-2020,NAA8,37270.12
15203,U001,200726979,BJ'S  co,,2020,1930689328,22-03-2020,06-04-2020,22-03-2020,NAA8,713.64
15205,U001,200769623,WAL-MAR ,,2020,1930808805,21-04-2020,06-05-2020,21-04-2020,NAH4,596.77
15209,U001,200769623,WAL-MAR trust,,2020,1930710200,26-03-2020,10-04-2020,26-03-2020,NAH4,32293.7
15210,U001,200772670,ASSOCIAT co,,2020,1930576073,27-02-2020,13-03-2020,27-02-2020,NAU5,18543.6
15212,U001,200707822,PUBLI in,,2020,1930682342,21-03-2020,05-04-2020,21-03-2020,NAA8,88850.04
15218,U001,200707822,PUBLI co,,2020,1930801051,18-04-2020,03-05-2020,18-04-2020,NAA8,42159.48
15230,U001,200744019,TARG co,,2020,1930660461,17-03-2020,01-04-2020,17-03-2020,NAA8,60715.46
15232,U001,200726979,BJ'S  ,,2020,1930610067,06-03-2020,21-03-2020,06-03-2020,NAA8,567.26
15233,U001,200772670,ASSOCIAT systems,,2020,1930685010,21-03-2020,05-04-2020,21-03-2020,NAU5,3587.62
15237,U001,200794332,COST corp,,2020,1930585413,03-03-2020,07-05-2020,03-03-2020,NAGD,9793.06
15242,CA02,140106408,WAL-M corporation,,2020,2960622235,24-03-2020,03-04-2020,24-03-2020,CA10,85688.12
15247,U001,200689451,PORK foundation,,2020,1930822032,24-04-2020,09-05-2020,24-04-2020,NAA8,130976.53
15248,U001,200744019,TARG us,,2020,1930699982,26-03-2020,10-04-2020,26-03-2020,NAA8,11328.88
15251,U001,200707822,PUBLI corp,,2020,1930850556,01-05-2020,16-05-2020,01-05-2020,NAA8,115652.18
15258,CA02,140105652,DOLLAR associates,,2020,2960620031,11-03-2020,23-03-2020,13-03-2020,CA10,3890.25
15260,U001,200769623,WAL-MAR systems,,2020,1930731994,02-04-2020,17-04-2020,02-04-2020,NAH4,26660.34
15262,CA02,100030194,AMAZO co,,2020,2960628321,15-04-2020,27-04-2020,17-04-2020,CA10,639.17
15264,U001,200769623,WAL-MAR co,,2020,1930776519,11-04-2020,26-04-2020,11-04-2020,NAH4,69510
15277,U001,200780383,MEIJ corporation,,2020,1930697833,25-03-2020,09-04-2020,25-03-2020,NAA8,123689.58
15281,U001,200915438,GROC corp,,2020,1930580543,05-03-2020,20-03-2020,05-03-2020,NAA8,7692.63
15282,U001,200705742,DOT llc,,2020,1930703858,27-03-2020,30-04-2020,27-03-2020,NAAW,3796.38
15286,U001,200418007,AM corporation,,2020,1930739092,07-04-2020,22-04-2020,07-04-2020,NAA8,5848.15
15287,U001,200769623,WAL-MAR trust,,2020,1930597726,05-03-2020,20-03-2020,05-03-2020,NAH4,10447.69
15288,U001,200794332,COST trust,,2020,1930655634,17-03-2020,21-05-2020,17-03-2020,NAGD,1843.86
15294,U001,200776463,KROGE llc,,2020,1930688593,23-03-2020,07-04-2020,23-03-2020,NAA8,131411.98
15306,U001,200418007,AM llc,,2020,1930773582,16-04-2020,20-06-2020,16-04-2020,NAGD,286.44
15316,U001,200726979,BJ'S  llc,,2020,1930677236,21-03-2020,05-04-2020,21-03-2020,NAA8,55.35
15328,U001,200762301,C&S WH foundation,,2020,1930630315,11-03-2020,26-03-2020,11-03-2020,NAC6,1994.02
15329,U001,200769623,WAL-MAR llc,,2020,1930800234,18-04-2020,03-05-2020,18-04-2020,NAH4,3270.04
15330,U001,200772670,ASSOCIAT systems,,2020,1930814550,21-04-2020,06-05-2020,21-04-2020,NAU5,86724.93
15333,U001,200726979,BJ'S  in,,2020,1930705549,25-03-2020,09-04-2020,25-03-2020,NAA8,1344.33
15338,U001,200769623,WAL-MAR co,,2020,1930886158,12-05-2020,27-05-2020,12-05-2020,NAH4,1064.58
15342,U001,200769623,WAL-MAR in,,2020,1930580066,02-03-2020,17-03-2020,02-03-2020,NAH4,45234.86
15350,CA02,140106231,PRATT trust,,2020,2960628963,16-04-2020,04-05-2020,24-04-2020,CA10,7104.244
15358,U001,200418007,AM systems,,2020,1930625317,10-03-2020,14-05-2020,10-03-2020,NAGD,9433.56
15361,U001,200519201,KROGE corporation,,2020,1930735394,02-04-2020,17-04-2020,02-04-2020,NAA8,119778.34
15365,U001,200769623,WAL-MAR us,,2020,1930629449,10-03-2020,25-03-2020,10-03-2020,NAH4,2887.97
15370,U001,200353024,DECA foundation,,2020,1930877177,08-05-2020,11-05-2020,01-05-2020,NAM2,1854.46
15376,U001,200769623,WAL-MAR us,,2020,1930794495,19-04-2020,04-05-2020,19-04-2020,NAH4,41431.07
15377,U001,200780383,MEIJ systems,,2020,1930666577,19-03-2020,03-04-2020,19-03-2020,NAA8,124047.6
15381,U001,200806580,BE associates,,2020,1930584409,03-03-2020,18-03-2020,03-03-2020,NAA8,15064.23
15384,U001,200707822,PUBLI corp,,2020,1930637657,11-03-2020,26-03-2020,11-03-2020,NAA8,137304.66
15385,U001,200769623,WAL-MAR systems,,2020,1930883771,10-05-2020,25-05-2020,10-05-2020,NAH4,44055.61
15387,U001,200290370,BARGAIN  trust,,2020,1930667553,25-03-2020,09-04-2020,25-03-2020,NAA8,3203.64
15395,U001,200936373,SUPE systems,,2020,1930659959,18-03-2020,02-04-2020,18-03-2020,NAA8,80856.68
15404,U001,200020431,DEC co,,2020,1930764985,09-04-2020,24-04-2020,01-04-2020,NAM4,5527.46
15408,U001,200759878,SA llc,,2020,1930684473,22-03-2020,06-04-2020,22-03-2020,NAH4,20383.65
15410,U001,200721222,GO co,,2020,1930782274,14-04-2020,29-04-2020,14-04-2020,NAA8,14617.13
15420,U001,200704858,WAKE corporation,,2020,1930660646,17-03-2020,01-04-2020,17-03-2020,NAA8,80448.41
15428,CA02,140105686,SYSC associates,,2020,2960621326,16-03-2020,27-03-2020,17-03-2020,CA10,16387.91
15429,U001,200707822,PUBLI corp,,2020,1930664511,17-03-2020,01-04-2020,17-03-2020,NAA8,80143.13
15440,U001,200769623,WAL-MAR co,,2020,1930773545,11-04-2020,26-04-2020,11-04-2020,NAH4,5262.6
15445,U001,200769623,WAL-MAR us,,2020,1930593307,04-03-2020,19-03-2020,04-03-2020,NAH4,7668.56
15451,U001,200793568,SUPE associates,,2020,1930749736,05-04-2020,20-04-2020,05-04-2020,NAA8,21480.07
15461,U001,200726979,BJ'S  corporation,,2020,1930780901,09-04-2020,24-04-2020,09-04-2020,NAA8,94.31
15462,U001,200519201,KROGE foundation,,2020,1930603028,06-03-2020,10-05-2020,06-03-2020,NAGD,310588.42
15465,U001,200762301,C&S WH foundation,,2020,1930764230,08-04-2020,23-04-2020,08-04-2020,NAC6,117531.29
15466,U001,100031704,DELHAIZE co,,2020,1930671441,20-03-2020,04-04-2020,20-03-2020,NAA8,64355.64
15470,U001,200706844,WINC corp,,2020,1930636685,12-03-2020,27-03-2020,12-03-2020,NAA8,1445.54
15471,U001,200726979,BJ'S  trust,,2020,1930724552,30-03-2020,14-04-2020,30-03-2020,NAA8,178.63
15474,U001,200744019,TARG systems,,2020,1930859173,06-05-2020,21-05-2020,06-05-2020,NAA8,3220.76
15477,U001,200418007,AM llc,,2020,1930646651,13-03-2020,28-03-2020,13-03-2020,NAA8,34713.36
15484,U001,200769623,WAL-MAR llc,,2020,1930674462,21-03-2020,05-04-2020,21-03-2020,NAH4,16245.61
15486,U001,200936373,SUPE corp,,2020,1930764370,08-04-2020,23-04-2020,08-04-2020,NAA8,97094.2
15502,U001,200769623,WAL-MAR in,,2020,1930829534,27-04-2020,12-05-2020,27-04-2020,NAH4,2322.34
15505,U001,200769623,WAL-MAR corp,,2020,1930621439,08-03-2020,23-03-2020,08-03-2020,NAH4,70811.16
15516,U001,200759878,SA corp,,2020,1930799864,19-04-2020,04-05-2020,19-04-2020,NAH4,49922.31
15525,U001,200794332,COST associates,,2020,1930571629,27-02-2020,13-03-2020,27-02-2020,NAAX,1209.26
15527,U001,200762301,C&S WH foundation,,2020,1930758005,09-04-2020,24-04-2020,09-04-2020,NAC6,61267.69
15533,U001,200728270,HEI in,,2020,1930782732,15-04-2020,30-04-2020,15-04-2020,NAA8,133922.54
15549,U001,200761734,H E BUT corp,,2020,1930758260,07-04-2020,22-04-2020,07-04-2020,NAA8,13269.25
15566,U001,200744019,TARG foundation,,2020,1930747821,05-04-2020,20-04-2020,05-04-2020,NAA8,5026.39
15570,U001,200769623,WAL-MAR us,,2020,1930758294,09-04-2020,24-04-2020,09-04-2020,NAH4,76880.66
15576,U001,200769623,WAL-MAR us,,2020,1930789756,16-04-2020,01-05-2020,16-04-2020,NAH4,17439.21
15579,U001,200769623,WAL-MAR systems,,2020,1930619222,06-03-2020,21-03-2020,06-03-2020,NAH4,9043.47
15583,U001,200418007,AM co,,2020,1930802808,20-04-2020,05-05-2020,20-04-2020,NAA8,14182.71
15585,U001,200769623,WAL-MAR us,,2020,1930837564,29-04-2020,14-05-2020,29-04-2020,NAH4,35084
15588,CA02,140106408,WAL-M ,,2020,2960622648,20-03-2020,30-03-2020,20-03-2020,CA10,28653.828
15590,CA02,140106408,WAL-M in,,2020,2960628265,14-04-2020,27-04-2020,17-04-2020,CA10,4548.628
15591,U001,200416837,DEC ,,2020,1930856792,05-05-2020,24-05-2020,01-05-2020,NAM4,195.36
15594,U001,200769623,WAL-MAR trust,,2020,1930847595,02-05-2020,17-05-2020,02-05-2020,NAH4,19370.98
15598,U001,200761734,H E BUT associates,,2020,1930720473,31-03-2020,15-04-2020,31-03-2020,NAA8,16171.35
15602,CA02,140106271,LONGO  us,,2020,2960623262,24-03-2020,04-04-2020,25-03-2020,CA10,12541.221
15614,U001,200794332,COST associates,,2020,1930688798,25-03-2020,09-04-2020,25-03-2020,NAAX,51557.44
15616,U001,200704858,WAKE ,,2020,1930832523,29-04-2020,14-05-2020,29-04-2020,NAA8,102619.53
15617,U001,200366118,AN ,,2020,1930675734,25-03-2020,09-04-2020,25-03-2020,NAA8,8388.23
15618,U001,200790165,CONSO corporation,,2020,1930646119,12-03-2020,27-03-2020,12-03-2020,NAA8,26496
15620,U001,200794332,COST trust,,2020,1930862104,07-05-2020,22-05-2020,07-05-2020,NAAX,5531.59
15623,U001,200725421,BEN  llc,,2020,1930830348,30-04-2020,15-05-2020,30-04-2020,NAA8,29238.65
15634,U001,200706844,WINC co,,2020,1930666160,17-03-2020,01-04-2020,17-03-2020,NAA8,53058.2
15653,U001,200793830,M corporation,,2020,1930752415,06-04-2020,10-06-2020,06-04-2020,NAGD,37261.43
15656,U001,200707822,PUBLI foundation,,2020,1930755192,06-04-2020,21-04-2020,06-04-2020,NAA8,61584.25
15663,U001,200762950,HAR llc,,2020,1930764821,10-04-2020,25-04-2020,10-04-2020,NAA8,111055.12
15665,U001,200290370,BARGAIN  ,,2020,1930585002,04-03-2020,19-03-2020,04-03-2020,NAA8,12411
15677,U001,200769623,WAL-MAR ,,2020,1930714811,27-03-2020,11-04-2020,27-03-2020,NAH4,25292.05
15705,U001,200707005,KING S corporation,,2020,1930578955,01-03-2020,16-03-2020,01-03-2020,NAA8,17114.82
15707,U001,200759878,SA corp,,2020,1930732714,05-04-2020,20-04-2020,05-04-2020,NAH4,80029.11
15710,U001,200803720,DEC associates,,2020,1930773038,10-04-2020,08-04-2020,01-04-2020,NAM1,191.68
15714,U001,200769623,WAL-MAR systems,,2020,1930635726,13-03-2020,28-03-2020,13-03-2020,NAH4,13836.18
15725,U001,200769623,WAL-MAR corporation,,2020,1930600038,05-03-2020,20-03-2020,05-03-2020,NAH4,60419.27
15740,U001,200983712,FAMOS trust,,2020,1930832553,29-04-2020,14-05-2020,29-04-2020,NAA8,64690.87
15741,U001,200769623,WAL-MAR systems,,2020,1930648447,14-03-2020,29-03-2020,14-03-2020,NAH4,35276.75
15746,CA02,140106408,WAL-M foundation,,2020,2960625530,01-04-2020,11-04-2020,01-04-2020,CA10,2801.596
15752,U001,200793568,SUPE in,,2020,1930781253,14-04-2020,29-04-2020,14-04-2020,NAA8,36781.31
15764,U001,200881076,ALBERT foundation,,2020,1930668198,18-03-2020,02-04-2020,18-03-2020,NAA8,123543.83
15766,U001,200769623,WAL-MAR corporation,,2020,1930852142,03-05-2020,18-05-2020,03-05-2020,NAH4,1085.08
15770,U001,200769623,WAL-MAR ,,2020,1930856529,05-05-2020,20-05-2020,05-05-2020,NAH4,23976.84
15783,CA02,140104423,METRO  ,,2020,2960620852,13-03-2020,27-03-2020,17-03-2020,CA10,43262.184
15785,U001,200769623,WAL-MAR us,,2020,1930598702,04-03-2020,19-03-2020,04-03-2020,NAH4,9183.24
15794,U001,200777735,NASH  corp,,2020,1930595867,03-03-2020,18-03-2020,03-03-2020,NAA8,431.95
15797,U001,200353024,DECA foundation,,2020,1930812801,22-04-2020,09-05-2020,16-04-2020,NAM4,3935.52
15799,U001,CCU013,KRAFT F corporation,,2020,1930685592,26-03-2020,26-03-2020,26-03-2020,NAX2,13294.86
15803,U001,200770677,KRAS systems,,2020,1930571005,27-02-2020,13-03-2020,27-02-2020,NAA8,45808.43
15805,CA02,140104285,BUY- in,,2020,2960622848,21-03-2020,08-04-2020,29-03-2020,CA10,4467.904
15824,U001,200793122,PIGGLY ,,2020,1930642421,12-03-2020,27-03-2020,12-03-2020,NAA8,75409.9
15828,U001,200707822,PUBLI in,,2020,1930642630,13-03-2020,28-03-2020,13-03-2020,NAA8,170703.22
15830,U001,200418007,AM co,,2020,1930650667,19-03-2020,03-04-2020,19-03-2020,NAA8,14378.47
15831,U001,200799367,MCL trust,,2020,1930671181,26-03-2020,10-04-2020,26-03-2020,NAA8,11498.11
15834,U001,200759878,SA in,,2020,1930593347,04-03-2020,19-03-2020,04-03-2020,NAH4,13976.95
15844,U001,200784489,GE corp,,2020,1930671366,19-03-2020,03-04-2020,19-03-2020,NAA8,30457.31
15847,U001,200726979,BJ'S  ,,2020,1930617482,07-03-2020,22-03-2020,07-03-2020,NAA8,332.47
15859,U001,200769623,WAL-MAR systems,,2020,1930581854,29-02-2020,15-03-2020,29-02-2020,NAH4,17332.53
15864,U001,200742521,GLA corporation,,2020,1930583682,02-03-2020,17-03-2020,02-03-2020,NAA8,42775.37
15866,U001,200799538,UNITE associates,,2020,1930730432,01-04-2020,05-06-2020,01-04-2020,NAGD,2959.64
15867,U001,200776463,KROGE ,,2020,1930703424,25-03-2020,09-04-2020,25-03-2020,NAA8,48826.24
15871,CA02,140104409,LOB trust,,2020,2960634612,12-05-2020,23-05-2020,13-05-2020,CA10,65181.606
15873,U001,200078795,H T H in,,2020,1930838800,29-04-2020,14-05-2020,29-04-2020,NAA8,446.41
15878,U001,200573068,GROCE llc,,2020,1930706530,26-03-2020,10-04-2020,26-03-2020,NAA8,19349.89
15885,U001,200769623,WAL-MAR us,,2020,1930838907,02-05-2020,17-05-2020,02-05-2020,NAH4,15596.28
15887,U001,200712102,SUGAR  llc,,2020,1930572469,27-02-2020,27-04-2020,27-02-2020,NAVQ,21000.72
15895,U001,200936373,SUPE associates,,2020,1930706357,26-03-2020,10-04-2020,26-03-2020,NAA8,41281.94
15897,U001,200769623,WAL-MAR ,,2020,1930814025,22-04-2020,07-05-2020,22-04-2020,NAH4,1898.2
15898,CA02,CCU001,KRAFT  corp,,2020,2960623586,27-03-2020,04-05-2020,30-03-2020,NAG2,27442.002
15905,U001,200935607,CHICKE associates,,2020,1930617496,09-03-2020,24-03-2020,09-03-2020,NAA8,38548.46
15907,U001,200769623,WAL-MAR foundation,,2020,1930581356,29-02-2020,15-03-2020,29-02-2020,NAH4,213.34
15908,U001,200769623,WAL-MAR trust,,2020,1930793951,16-04-2020,01-05-2020,16-04-2020,NAH4,661.11
15912,U001,200794332,COST trust,,2020,1930609538,06-03-2020,21-03-2020,06-03-2020,NAAX,32715.47
15913,U001,200794332,COST us,,2020,1930660677,18-03-2020,02-04-2020,18-03-2020,NAAX,7408.91
15914,U001,200764795,SYSCO  corporation,,2020,1930804508,20-04-2020,05-05-2020,20-04-2020,NAA8,2506.25
15920,U001,200793513,KROGER ,,2020,1930706047,28-03-2020,12-04-2020,28-03-2020,NAA8,11136.36
15924,CA02,140104423,METRO  systems,,2020,2960627436,08-04-2020,18-04-2020,08-04-2020,CA10,40476.086
15925,U001,200762301,C&S WH trust,,2020,1930752348,06-04-2020,21-04-2020,06-04-2020,NAC6,10988.58
15926,CA02,140104409,LOB us,,2020,2960633349,10-05-2020,21-05-2020,11-05-2020,CA10,154069.636
15932,U001,200762301,C&S WH us,,2020,1930800172,20-04-2020,24-06-2020,20-04-2020,NAGD,6013.98
15937,U001,200705742,DOT llc,,2020,1930704663,26-03-2020,27-04-2020,26-03-2020,NA32,19549.09
15944,U001,200704045,RA co,,2020,1930718094,29-03-2020,13-04-2020,29-03-2020,NAA8,66274.65
15946,U001,200769623,WAL-MAR foundation,,2020,1930647754,14-03-2020,29-03-2020,14-03-2020,NAH4,6285.81
15951,U001,200725421,BEN  corp,,2020,1930681903,23-03-2020,07-04-2020,23-03-2020,NAA8,27102.2
15968,U001,200418007,AM us,,2020,1930840914,04-05-2020,19-05-2020,04-05-2020,NAA8,5728.95
15977,U001,200769623,WAL-MAR in,,2020,1930683544,21-03-2020,05-04-2020,21-03-2020,NAH4,4341.39
15983,U001,200152991,JET trust,,2020,1930597436,03-03-2020,23-03-2020,03-03-2020,NAD1,1779.23
15986,U001,100033439,WESTI corp,,2020,1930808214,23-04-2020,03-05-2020,23-04-2020,NA10,26044.2
15998,U001,200148860,DOLLA corporation,,2020,1930808209,22-04-2020,26-06-2020,22-04-2020,NAGD,27219.58
16004,U001,200020431,DEC trust,,2020,1930817764,23-04-2020,09-05-2020,16-04-2020,NAM4,1236.6
